# round	mode	threads	workers	kind	index	value_us	collections
1	unsafe	4	3	reset	22	0.091	0
1	unsafe	4	3	reset	23	0.07	0
1	unsafe	4	3	reset	24	0.071	0
1	unsafe	4	3	reset	25	0.08	0
1	unsafe	4	3	reset	26	0.08	0
1	unsafe	4	3	reset	27	0.08	0
1	unsafe	4	3	reset	28	0.08	0
1	unsafe	4	3	reset	29	0.08	0
1	unsafe	4	3	reset	30	0.08	0
1	unsafe	4	3	reset	31	0.08	0
1	unsafe	4	3	reset	32	0.08	0
1	unsafe	4	3	reset	33	0.081	0
1	unsafe	4	3	reset	34	0.08	0
1	unsafe	4	3	reset	35	0.08	0
1	unsafe	4	3	reset	36	0.08	0
1	unsafe	4	3	reset	37	0.07	0
1	unsafe	4	3	reset	38	0.101	0
1	unsafe	4	3	reset	39	0.07	0
1	unsafe	4	3	reset	40	0.08	0
1	unsafe	4	3	reset	41	0.08	0
1	unsafe	4	3	reset	42	0.09	0
1	unsafe	4	3	reset	43	0.08	0
1	unsafe	4	3	reset	44	0.07	0
1	unsafe	4	3	reset	45	0.1	0
1	unsafe	4	3	reset	46	0.07	0
1	unsafe	4	3	reset	47	0.09	0
1	unsafe	4	3	reset	48	0.08	0
1	unsafe	4	3	reset	49	0.07	0
1	unsafe	4	3	reset	50	0.07	0
1	unsafe	4	3	reset	51	0.08	0
1	unsafe	4	3	reset	52	0.08	0
1	unsafe	4	3	reset	53	0.08	0
1	unsafe	4	3	reset	54	0.08	0
1	unsafe	4	3	reset	55	0.1	0
1	unsafe	4	3	reset	56	0.07	0
1	unsafe	4	3	reset	57	0.081	0
1	unsafe	4	3	reset	58	0.07	0
1	unsafe	4	3	reset	59	0.081	0
1	unsafe	4	3	reset	60	0.07	0
1	unsafe	4	3	reset	61	0.07	0
1	unsafe	4	3	reset	62	0.09	0
1	unsafe	4	3	reset	63	0.08	0
1	unsafe	4	3	reset	64	0.08	0
